Date,City,Product Category,Units Sold,Revenue,Profit
14/05/2024,Multan,Groceries,27,10827,2543
14/05/2024,Multan,Footwear,26,6942,1135
15/05/2024,Rawalpindi,Electronics,36,13572,3400
16/05/2024,Sargodha,Cosmetics,32,13504,1357
18/05/2024,Karachi,Cosmetics,1,344,54
19/05/2024,Sargodha,Footwear,14,5894,1040
21/05/2024,Sargodha,Home Application,21,9345,1306
22/05/2024,Sargodha,Groceries,17,5508,622
22/05/2024,Lahore,Footwear,28,10276,2871
23/05/2024,Islamabad,Cosmetics,10,2490,453
23/05/2024,Multan,Electronics,36,14184,2556
26/05/2024,Peshawar,Home Application,39,14235,2117
26/05/2024,Sargodha,Cosmetics,3,1086,256
26/05/2024,Faisalabad,Footwear,21,5040,1336
27/05/2024,Islamabad,Footwear,11,2827,645
27/05/2024,Faisalabad,Clothing,23,11040,1614
29/05/2024,Faisalabad,Groceries,33,13926,1418
30/05/2024,Multan,Groceries,35,10220,1203
30/05/2024,Multan,Footwear,3,876,236
31/05/2024,Rawalpindi,Electronics,29,12006,2159
31/05/2024,Multan,Footwear,23,9683,1667
31/05/2024,Islamabad,Groceries,46,12098,3116
01/06/2024,Multan,Groceries,36,16776,4447
01/06/2024,Lahore,Clothing,25,12025,1508
03/06/2024,Multan,Electronics,44,18128,4685
05/06/2024,Multan,Clothing,22,5566,1477
06/06/2024,Peshawar,Clothing,35,9905,1232
06/06/2024,Lahore,Cosmetics,45,14175,1482
08/06/2024,Faisalabad,Electronics,32,15264,3877
08/06/2024,Sargodha,Groceries,21,10164,2390
08/06/2024,Faisalabad,Groceries,32,14976,2088
08/06/2024,Multan,Electronics,40,18880,5566
09/06/2024,Islamabad,Home Application,29,7859,1583
09/06/2024,Multan,Footwear,10,3870,729
09/06/2024,Islamabad,Footwear,34,14858,3327
09/06/2024,Karachi,Home Application,12,3348,597
10/06/2024,Rawalpindi,Footwear,47,9870,1308
11/06/2024,Multan,Home Application,15,3030,697
11/06/2024,Rawalpindi,Home Application,37,10175,2618
13/06/2024,Karachi,Home Application,10,3620,735
15/06/2024,Karachi,Electronics,36,8568,1253
17/06/2024,Lahore,Groceries,38,13642,2910
18/06/2024,Islamabad,Footwear,37,12987,2304
18/06/2024,Faisalabad,Clothing,36,7308,1100
18/06/2024,Faisalabad,Cosmetics,29,5974,1708
19/06/2024,Multan,Clothing,40,11640,1330
20/06/2024,Islamabad,Clothing,39,17550,2036
20/06/2024,Faisalabad,Groceries,4,900,139
20/06/2024,Karachi,Clothing,27,5616,1178
20/06/2024,Islamabad,Clothing,33,8547,1153
21/06/2024,Sargodha,Footwear,24,11064,2476
22/06/2024,Peshawar,Groceries,40,10320,1504
23/06/2024,Faisalabad,Clothing,29,8903,1525
24/06/2024,Peshawar,Groceries,12,5028,987
24/06/2024,Rawalpindi,Home Application,40,19520,2780
27/06/2024,Rawalpindi,Cosmetics,28,8792,1805
28/06/2024,Multan,Electronics,8,3344,536
29/06/2024,Faisalabad,Electronics,20,5720,989
02/07/2024,Lahore,Clothing,7,3388,570
04/07/2024,Islamabad,Home Application,12,2484,678
05/07/2024,Lahore,Groceries,30,11400,1584
05/07/2024,Faisalabad,Home Application,1,283,53
05/07/2024,Islamabad,Groceries,28,10472,2868
06/07/2024,Peshawar,Clothing,40,8160,1796
06/07/2024,Rawalpindi,Groceries,45,18405,3163
06/07/2024,Sargodha,Home Application,43,19006,2630
07/07/2024,Faisalabad,Cosmetics,42,16716,3133
08/07/2024,Karachi,Electronics,15,3225,713
08/07/2024,Rawalpindi,Cosmetics,49,10339,2675
08/07/2024,Sargodha,Electronics,5,1355,401
08/07/2024,Karachi,Groceries,26,11414,2629
09/07/2024,Sargodha,Home Application,45,15570,3066
09/07/2024,Multan,Groceries,18,4680,602
10/07/2024,Faisalabad,Footwear,22,7722,1135
10/07/2024,Islamabad,Electronics,11,4147,811
12/07/2024,Peshawar,Home Application,34,9758,2680
13/07/2024,Multan,Footwear,31,13671,2823
16/07/2024,Multan,Home Application,14,2842,536
16/07/2024,Lahore,Electronics,3,648,79
16/07/2024,Lahore,Cosmetics,48,10608,2430
17/07/2024,Sargodha,Electronics,20,4220,583
19/07/2024,Islamabad,Home Application,18,5238,884
19/07/2024,Sargodha,Home Application,41,12177,3334
20/07/2024,Multan,Footwear,40,10440,1437
21/07/2024,Islamabad,Footwear,18,8460,873
24/07/2024,Lahore,Groceries,23,8211,1352
25/07/2024,Sargodha,Groceries,29,8120,2297
26/07/2024,Karachi,Cosmetics,22,6952,824
26/07/2024,Karachi,Groceries,42,18564,2763
26/07/2024,Karachi,Home Application,25,6125,1316
31/07/2024,Faisalabad,Electronics,8,2096,217
01/08/2024,Islamabad,Home Application,27,6048,1265
02/08/2024,Islamabad,Electronics,8,1912,382
02/08/2024,Peshawar,Cosmetics,33,15477,3341
02/08/2024,Peshawar,Footwear,48,22032,3328
03/08/2024,Karachi,Clothing,2,788,175
04/08/2024,Lahore,Electronics,29,13282,3441
05/08/2024,Faisalabad,Electronics,6,1734,347
05/08/2024,Multan,Footwear,25,9925,2858
05/08/2024,Lahore,Groceries,37,15725,3450
07/08/2024,Lahore,Home Application,35,15750,2559
07/08/2024,Sargodha,Footwear,40,8240,2104
09/08/2024,Islamabad,Footwear,49,22589,4614
10/08/2024,Faisalabad,Footwear,40,19960,3055
11/08/2024,Rawalpindi,Home Application,14,3192,726
12/08/2024,Multan,Clothing,30,14820,2031
12/08/2024,Multan,Clothing,19,5187,1134
12/08/2024,Sargodha,Clothing,32,7424,1124
13/08/2024,Faisalabad,Clothing,46,15732,2560
14/08/2024,Rawalpindi,Groceries,43,18275,1881
14/08/2024,Karachi,Clothing,18,7488,1267
17/08/2024,Faisalabad,Cosmetics,10,3020,437
18/08/2024,Karachi,Clothing,28,7728,1229
18/08/2024,Faisalabad,Clothing,20,8300,2195
18/08/2024,Lahore,Electronics,9,4212,790
18/08/2024,Faisalabad,Clothing,7,1673,299
20/08/2024,Karachi,Home Application,45,19215,4754
20/08/2024,Peshawar,Home Application,8,2832,745
20/08/2024,Karachi,Clothing,22,7172,1116
20/08/2024,Multan,Electronics,29,12789,1933
21/08/2024,Multan,Home Application,34,14382,3298
23/08/2024,Sargodha,Home Application,38,14060,1816
24/08/2024,Rawalpindi,Footwear,49,14994,3991
24/08/2024,Lahore,Home Application,22,7612,1417
25/08/2024,Multan,Home Application,12,3312,545
27/08/2024,Peshawar,Clothing,19,4294,941
28/08/2024,Rawalpindi,Electronics,17,4063,853
29/08/2024,Sargodha,Home Application,5,2355,277
30/08/2024,Lahore,Electronics,23,8487,1131
31/08/2024,Lahore,Groceries,47,21150,4003
02/09/2024,Rawalpindi,Home Application,34,6902,1416
03/09/2024,Sargodha,Groceries,31,9238,1747
03/09/2024,Faisalabad,Footwear,44,10956,3208
08/09/2024,Faisalabad,Cosmetics,42,8988,1386
08/09/2024,Multan,Home Application,4,1032,240
08/09/2024,Faisalabad,Home Application,17,6341,850
08/09/2024,Multan,Electronics,14,6454,1831
09/09/2024,Lahore,Electronics,43,10922,2740
09/09/2024,Peshawar,Footwear,33,16236,3797
10/09/2024,Karachi,Home Application,6,1260,222
10/09/2024,Lahore,Home Application,17,5984,1167
11/09/2024,Rawalpindi,Cosmetics,24,5664,1181
11/09/2024,Lahore,Home Application,7,1918,423
12/09/2024,Multan,Home Application,9,3348,534
13/09/2024,Multan,Electronics,25,11250,2571
14/09/2024,Faisalabad,Electronics,27,12744,2800
15/09/2024,Karachi,Electronics,29,9048,1581
15/09/2024,Lahore,Electronics,20,9120,1040
16/09/2024,Lahore,Footwear,13,5018,628
17/09/2024,Faisalabad,Groceries,47,20022,5709
19/09/2024,Lahore,Footwear,24,5424,1361
20/09/2024,Sargodha,Electronics,26,7514,2153
20/09/2024,Karachi,Clothing,6,1212,287
20/09/2024,Peshawar,Clothing,31,11935,2696
21/09/2024,Sargodha,Groceries,20,8700,1050
23/09/2024,Multan,Cosmetics,44,15136,3271
24/09/2024,Karachi,Groceries,25,7600,1211
24/09/2024,Multan,Footwear,23,9016,2361
26/09/2024,Sargodha,Clothing,43,18275,4499
27/09/2024,Multan,Electronics,36,9036,2645
27/09/2024,Multan,Footwear,24,8640,1520
27/09/2024,Karachi,Cosmetics,3,1461,296
29/09/2024,Multan,Footwear,44,15752,2850
30/09/2024,Multan,Groceries,36,8208,906
03/10/2024,Faisalabad,Home Application,2,610,135
03/10/2024,Peshawar,Cosmetics,2,614,170
03/10/2024,Karachi,Groceries,22,7634,1587
06/10/2024,Multan,Groceries,42,13860,2031
06/10/2024,Peshawar,Electronics,33,12771,1278
06/10/2024,Peshawar,Groceries,23,7567,2127
06/10/2024,Peshawar,Home Application,9,3960,486
07/10/2024,Sargodha,Home Application,9,4383,1124
09/10/2024,Rawalpindi,Clothing,49,23667,6377
09/10/2024,Lahore,Cosmetics,21,7833,1684
09/10/2024,Karachi,Footwear,38,16074,4558
10/10/2024,Sargodha,Groceries,30,13440,3273
10/10/2024,Sargodha,Home Application,36,16596,4412
10/10/2024,Karachi,Home Application,32,11328,2318
12/10/2024,Peshawar,Home Application,43,13846,1770
12/10/2024,Karachi,Groceries,1,238,30
14/10/2024,Karachi,Home Application,39,17238,2323
14/10/2024,Peshawar,Electronics,6,1302,298
15/10/2024,Karachi,Clothing,42,12222,2193
15/10/2024,Sargodha,Home Application,21,7539,1908
19/10/2024,Faisalabad,Home Application,7,2975,633
20/10/2024,Sargodha,Electronics,4,1432,211
20/10/2024,Lahore,Groceries,33,16071,2691
21/10/2024,Lahore,Electronics,8,1768,448
22/10/2024,Islamabad,Home Application,37,12839,2245
24/10/2024,Islamabad,Clothing,22,4554,1331
25/10/2024,Multan,Cosmetics,38,18696,3194
27/10/2024,Lahore,Clothing,23,9522,2051
28/10/2024,Faisalabad,Electronics,47,9917,2187
30/10/2024,Multan,Clothing,21,7560,1705
30/10/2024,Rawalpindi,Footwear,17,3638,1078
30/10/2024,Sargodha,Home Application,9,3717,871
30/10/2024,Multan,Cosmetics,29,12238,3556
30/10/2024,Sargodha,Groceries,44,17512,2573
01/11/2024,Islamabad,Home Application,10,3040,558
02/11/2024,Islamabad,Electronics,45,15300,3182
02/11/2024,Karachi,Electronics,46,19872,5142
03/11/2024,Rawalpindi,Footwear,5,2365,261
04/11/2024,Faisalabad,Home Application,37,11174,2432
05/11/2024,Rawalpindi,Home Application,40,19680,2490
05/11/2024,Multan,Electronics,17,4080,540
08/11/2024,Lahore,Cosmetics,12,5124,1210
09/11/2024,Rawalpindi,Cosmetics,5,1485,247
10/11/2024,Rawalpindi,Groceries,28,6608,1858
11/11/2024,Faisalabad,Home Application,47,14852,3214
11/11/2024,Multan,Clothing,43,18705,2711
12/11/2024,Islamabad,Groceries,26,7072,1156
13/11/2024,Faisalabad,Clothing,10,3870,881
13/11/2024,Faisalabad,Home Application,3,648,175
15/11/2024,Rawalpindi,Footwear,4,1784,487
16/11/2024,Lahore,Electronics,8,3536,944
17/11/2024,Peshawar,Electronics,16,6976,1069
18/11/2024,Faisalabad,Cosmetics,26,10920,2032
18/11/2024,Rawalpindi,Clothing,25,8725,1951
19/11/2024,Lahore,Cosmetics,48,11424,2798
20/11/2024,Faisalabad,Electronics,21,7854,1999
21/11/2024,Faisalabad,Cosmetics,47,21667,5771
22/11/2024,Islamabad,Groceries,13,3172,621
22/11/2024,Peshawar,Groceries,37,11026,2437
23/11/2024,Karachi,Clothing,35,16310,2856
24/11/2024,Sargodha,Clothing,31,13206,1645
26/11/2024,Islamabad,Clothing,30,9480,2204
26/11/2024,Islamabad,Groceries,14,3934,1070
03/12/2024,Sargodha,Home Application,38,14364,4144
03/12/2024,Karachi,Home Application,30,6780,2028
03/12/2024,Islamabad,Footwear,28,11900,3248
05/12/2024,Lahore,Cosmetics,11,2541,428
05/12/2024,Multan,Footwear,40,10560,1895
05/12/2024,Islamabad,Clothing,18,6426,1314
07/12/2024,Faisalabad,Cosmetics,35,8190,1893
07/12/2024,Rawalpindi,Electronics,25,5500,843
08/12/2024,Rawalpindi,Cosmetics,24,4944,698
09/12/2024,Multan,Clothing,26,11440,3126
09/12/2024,Multan,Electronics,33,7029,1261
10/12/2024,Peshawar,Home Application,46,9568,1262
10/12/2024,Islamabad,Groceries,13,4966,943
11/12/2024,Multan,Clothing,30,11940,2203
11/12/2024,Lahore,Electronics,2,722,158
11/12/2024,Lahore,Footwear,22,5258,640
11/12/2024,Lahore,Groceries,11,4818,1045
13/12/2024,Lahore,Footwear,2,810,111
14/12/2024,Karachi,Cosmetics,6,1476,258
14/12/2024,Karachi,Footwear,36,7668,794
14/12/2024,Peshawar,Cosmetics,41,16933,2641
14/12/2024,Multan,Electronics,5,1730,405
16/12/2024,Rawalpindi,Clothing,12,4224,554
17/12/2024,Islamabad,Electronics,49,12495,2441
17/12/2024,Peshawar,Groceries,12,5748,1100
19/12/2024,Multan,Home Application,37,12210,2128
20/12/2024,Faisalabad,Groceries,17,5015,636
24/12/2024,Rawalpindi,Home Application,33,12375,3592
24/12/2024,Islamabad,Footwear,39,16848,3459
25/12/2024,Lahore,Footwear,36,13500,2193
25/12/2024,Rawalpindi,Home Application,46,16192,2442
25/12/2024,Lahore,Cosmetics,43,10148,2300
25/12/2024,Sargodha,Clothing,9,2439,462
25/12/2024,Karachi,Clothing,34,8126,1782
29/12/2024,Peshawar,Home Application,5,1845,473
30/12/2024,Lahore,Electronics,45,17685,5155
31/12/2024,Lahore,Electronics,10,100000,20000
