Unnamed: 0,Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
60,BMW iX  2022 xDrive40 for Sale,9.7,2022,24936,Electric,710,Automatic,kWh,27500000
61,BMW X1  2017 sDrive18i A/T for Sale,8.7,2017,86493,Petrol,1500,Automatic,cc,6900000
62,BMW 3 Series  2015 316i for Sale,,2015,92000,Petrol,1600,Automatic,cc,7250000
63,BMW 7 Series 4th (E65) Generation 2005 750i for Sale,,2005,125000,Petrol,4800,Automatic,cc,3650000
64,BMW 7 Series  2004 745Li for Sale,,2004,290790,Petrol,4500,Automatic,cc,5200000
65,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3399,Electric,105.7,Automatic,kWh,62500000
66,BMW i4  2025 eDrive35 for Sale,,2025,3300,Electric,67,Automatic,kWh,24500000
67,BMW X1  2017 sDrive18i A/T for Sale,,2017,60000,Petrol,1500,Automatic,cc,6900000
68,BMW X1  2017 sDrive18i A/T for Sale,,2017,150000,Petrol,1500,Automatic,cc,6375000
69,BMW 7 Series 5th (F01) Generation 2013 ActiveHybrid 7L for Sale,,2013,87000,Hybrid,3000,Automatic,cc,17000000
70,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3400,Electric,1057,Automatic,kWh,62500000
71,BMW 5 Series  2016  for Sale,,2016,56000,Diesel,2000,Automatic,cc,15000000
72,BMW 7 Series 4th (E65) Generation 2003 730i for Sale,,2003,110000,Petrol,3000,Automatic,cc,5000000
73,BMW X5  2005 4.4i for Sale,,2005,138000,Petrol,4400,Automatic,cc,5800000
74,BMW i4  2022 eDrive40 for Sale,,2022,26000,Electric,84,Automatic,kWh,20800000
76,BMW 3 Series  1997 318i for Sale,,1997,90000,Petrol,1800,Automatic,cc,2100000
77,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,144000,Petrol,3000,Automatic,cc,3990000
78,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,140000,Petrol,3000,Automatic,cc,4300000
79,BMW X1  2017 sDrive18i A/T for Sale,,2017,62000,Petrol,1500,Automatic,cc,6250000
80,BMW 5 Series 6th (F10) Generation 2012 ActiveHybrid 5 for Sale,,2012,75000,Hybrid,3000,Automatic,cc,10500000
81,BMW 7 Series 4th (E65) Generation 2007 730d for Sale,,2007,125000,Diesel,3000,Automatic,cc,6500000
82,BMW 7 Series 5th (F01) Generation 2015 730Li for Sale,,2015,47000,Petrol,3000,Automatic,cc,23500000
83,BMW i4  2022 eDrive40 for Sale,9.8,2022,29326,Electric,84,Automatic,kWh,21500000
84,BMW i4  2022 eDrive40 for Sale,,2022,12300,Electric,84,Automatic,kWh,26200000
85,BMW i5  2023 eDrive40 M Sport for Sale,,2023,9540,Electric,81.2,Automatic,kWh,27700000
88,BMW X1  2017 sDrive18i A/T for Sale,,2017,150000,Petrol,1500,Automatic,cc,6375000
89,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3400,Electric,1057,Automatic,kWh,62500000
90,BMW 5 Series  2016  for Sale,,2016,56000,Diesel,2000,Automatic,cc,15000000
91,BMW X5  2005 4.4i for Sale,,2005,138000,Petrol,4400,Automatic,cc,5800000
92,BMW i4  2022 eDrive40 for Sale,,2022,26000,Electric,84,Automatic,kWh,20800000
94,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,144000,Petrol,3000,Automatic,cc,3990000
95,BMW 5 Series 6th (F10) Generation 2012 ActiveHybrid 5 for Sale,,2012,75000,Hybrid,3000,Automatic,cc,10500000
96,BMW 7 Series 4th (E65) Generation 2007 730d for Sale,,2007,125000,Diesel,3000,Automatic,cc,6500000
97,BMW i4  2022 eDrive40 for Sale,,2022,12300,Electric,84,Automatic,kWh,26200000
98,BMW i5  2023 eDrive40 M Sport for Sale,,2023,9540,Electric,81.2,Automatic,kWh,27700000
102,BMW iX  2022 xDrive40 for Sale,,2022,35000,Electric,71,Automatic,kWh,25900000
103,BMW 7 Series  2021 745Le xDrive for Sale,,2021,80000,Hybrid,3000,Automatic,cc,67500000
106,BMW i5  2023 eDrive40 M Sport for Sale,,2023,12000,Electric,81,Automatic,kWh,32000000
107,BMW 7 Series 4th (E65) Generation 2003 735i for Sale,,2003,87000,Petrol,3600,Automatic,cc,3200000
108,BMW 7 Series  2004 735i for Sale,,2004,78000,Petrol,3600,Automatic,cc,4500000
109,BMW i5  2023 M60 xDrive for Sale,,2023,11000,Electric,81,Automatic,kWh,45500000
110,BMW X5  2006 4.4i for Sale,,2006,117000,Petrol,4400,Automatic,cc,5000000
111,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,5000,Electric,105,Automatic,kWh,56000000
112,BMW X5  2001 3.0i for Sale,,2001,600000,Petrol,3000,Automatic,cc,3400000
113,BMW 7 Series 4th (E65) Generation 2004 735i for Sale,7.4,2004,208325,Petrol,3600,Automatic,cc,4800000
114,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5500,Electric,1057,Automatic,kWh,60000000
115,BMW 5 Series 5th (E60) Generation 2004 530d for Sale,,2004,240000,Diesel,3000,Automatic,cc,3600000
116,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,117000,Petrol,3000,Automatic,cc,4100000
117,BMW 7 Series  2023 i7 xDrive60 M Pro Package for Sale,,2023,25000,Electric,102,Automatic,kWh,62500000
118,BMW 7 Series 4th (E65) Generation 2003 730i for Sale,,2003,93760,Petrol,3000,Automatic,cc,3450000
119,BMW 3 Series 5th (E90) Generation 2005 318i for Sale,,2005,122000,Petrol,2000,Automatic,cc,5500000
120,BMW 3 Series 5th (E90) Generation 2006 320i for Sale,,2006,198000,Petrol,2000,Automatic,cc,3550000
121,BMW X5  2007 xDrive30d for Sale,,2007,192000,Diesel,3000,Automatic,cc,5500000
123,BMW X1  2017 sDrive18i A/T for Sale,,2017,50000,Petrol,1500,Automatic,cc,7600000
124,BMW 5 Series 5th (E60) Generation 2005 523i for Sale,,2005,200000,Petrol,2500,Automatic,cc,4000000
127,BMW 7 Series  2021 745Le xDrive for Sale,,2021,80000,Hybrid,3000,Automatic,cc,67500000
130,BMW i5  2023 eDrive40 M Sport for Sale,,2023,12000,Electric,81,Automatic,kWh,32000000
131,BMW 7 Series  2004 735i for Sale,,2004,78000,Petrol,3600,Automatic,cc,4500000
132,BMW 7 Series 4th (E65) Generation 2004 735i for Sale,7.4,2004,208325,Petrol,3600,Automatic,cc,4800000
133,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5500,Electric,1057,Automatic,kWh,60000000
134,BMW 7 Series  2023 i7 xDrive60 M Pro Package for Sale,,2023,25000,Electric,102,Automatic,kWh,62500000
135,BMW X5  2007 xDrive30d for Sale,,2007,192000,Diesel,3000,Automatic,cc,5500000
138,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,170000,Petrol,3000,Automatic,cc,4200000
139,BMW 3 Series  1992  for Sale,,1992,155000,Petrol,2500,Manual,cc,2000000
140,BMW 3 Series  2015 316i for Sale,,2015,59000,Petrol,1600,Automatic,cc,8375000
141,BMW i5  2024 eDrive40 M Sport for Sale,,2024,19000,Electric,81,Automatic,kWh,32400000
142,BMW 5 Series 5th (E60) Generation 2010 550i for Sale,,2010,145000,Petrol,4800,Automatic,cc,9000000
143,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,200000,Petrol,3000,Automatic,cc,4200000
144,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71,Automatic,kWh,26500000
146,BMW 7 Series  2025 i7 xDrive50 M Sport for Sale,,2025,300,Electric,101,Automatic,kWh,67500000
147,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71,Automatic,kWh,26500000
148,BMW X1  2017 sDrive18i M/T for Sale,,2017,112000,Petrol,1500,Manual,cc,7500000
149,BMW X5  2010  for Sale,,2010,100000,Petrol,2500,Automatic,cc,9000000
150,BMW 3 Series  2014 316i for Sale,,2014,68000,Petrol,1600,Automatic,cc,8150000
152,BMW X5  2003 3.0i for Sale,,2003,96000,Petrol,3000,Automatic,cc,3100000
153,BMW 7 Series  2024 i7 xDrive60 M Sports for Sale,,2024,8700,Electric,105,Automatic,kWh,69900000
154,BMW iX  2021 xDrive50 for Sale,,2021,32000,Electric,111,Automatic,kWh,25500000
155,BMW i4  2022 eDrive40 for Sale,,2022,25000,Electric,84,Automatic,kWh,18800000
156,BMW 5 Series 5th (E60) Generation 2009 525i for Sale,,2009,95000,Petrol,2500,Automatic,cc,4950000
157,BMW 5 Series 5th (E60) Generation 2005 530i for Sale,,2005,200000,Petrol,3000,Automatic,cc,3400000
159,BMW 7 Series  2016 740 Le xDrive for Sale,,2016,120000,PHEV,2000,Automatic,cc,35000000
160,BMW iX  2022 xDrive40 for Sale,9.6,2022,13096,Electric,71,Automatic,kWh,29000000
161,BMW i4  2025 eDrive35 for Sale,,2025,1700,Electric,67,Automatic,kWh,30000000
163,BMW 5 Series 5th (E60) Generation 2010 550i for Sale,,2010,145000,Petrol,4800,Automatic,cc,9000000
164,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71,Automatic,kWh,26500000
166,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71,Automatic,kWh,26500000
167,BMW X1  2017 sDrive18i M/T for Sale,,2017,112000,Petrol,1500,Manual,cc,7500000
168,BMW 3 Series  2014 316i for Sale,,2014,68000,Petrol,1600,Automatic,cc,8150000
170,BMW 7 Series  2024 i7 xDrive60 M Sports for Sale,,2024,8700,Electric,105,Automatic,kWh,69900000
172,BMW 7 Series  2016 740 Le xDrive for Sale,,2016,120000,PHEV,2000,Automatic,cc,35000000
173,BMW iX  2022 xDrive40 for Sale,9.6,2022,13096,Electric,71,Automatic,kWh,29000000
175,BMW 7 Series 4th (E65) Generation 2003 730d for Sale,,2003,250000,Diesel,3000,Automatic,cc,3150000
176,BMW 5 Series 5th (E60) Generation 2008 550i for Sale,,2008,160000,Petrol,4800,Automatic,cc,5500000
178,BMW 3 Series  2015 316i for Sale,,2015,154000,Petrol,1600,Automatic,cc,7500000
179,BMW X5  2004 4.4i for Sale,,2004,151000,Petrol,4400,Automatic,cc,3800000
180,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,30000,Electric,105,Automatic,kWh,59900000
181,BMW 5 Series 5th (E60) Generation 2007 525d for Sale,,2007,250000,Diesel,2500,Manual,cc,3800000
182,BMW X3  2009  for Sale,,2009,137000,Petrol,2500,Automatic,cc,4675000
183,BMW 7 Series  2025 i7 eDrive50 for Sale,,2025,26900,Electric,101,Automatic,kWh,64000000
188,BMW 5 Series 5th (E60) Generation 2005 550i for Sale,,2005,120000,Petrol,4800,Automatic,cc,6000000
189,BMW 3 Series 4th (E46) Generation 2006 320i for Sale,,2006,160000,Petrol,2000,Automatic,cc,3600000
190,BMW 3 Series  1993  for Sale,,1993,130000,Petrol,2500,Manual,cc,2950000
191,BMW i4  2023 eDrive40 for Sale,,2023,32000,Electric,84,Automatic,kWh,25000000
193,BMW 5 Series 6th (F10) Generation 2015 ActiveHybrid 5 for Sale,,2015,94000,Hybrid,3000,Automatic,cc,12500000
194,BMW 5 Series 5th (E60) Generation 2010 523i for Sale,,2010,4500,Petrol,2500,Automatic,cc,8000000
195,BMW i4  2025 eDrive35 for Sale,,2025,6800,Electric,670,Automatic,kWh,22800000
196,BMW 3 Series  1997  for Sale,,1997,141000,Petrol,3000,Automatic,cc,3000000
197,BMW 5 Series 5th (E60) Generation 2005 530i for Sale,,2005,167000,Petrol,3000,Automatic,cc,4500000
198,BMW 5 Series 5th (E60) Generation 2007 525d for Sale,,2007,150000,Diesel,2500,Automatic,cc,3600000
199,BMW i4  2025 eDrive35 for Sale,,2025,1700,Electric,67,Automatic,kWh,30000000
201,BMW 5 Series 5th (E60) Generation 2008 550i for Sale,,2008,160000,Petrol,4800,Automatic,cc,5500000
203,BMW 3 Series  2015 316i for Sale,,2015,154000,Petrol,1600,Automatic,cc,7500000
204,BMW X5  2004 4.4i for Sale,,2004,151000,Petrol,4400,Automatic,cc,3800000
205,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,30000,Electric,105,Automatic,kWh,59900000
206,BMW 5 Series 5th (E60) Generation 2005 550i for Sale,,2005,120000,Petrol,4800,Automatic,cc,6000000
207,BMW i8  2015 Coupe for Sale,,2015,33400,Hybrid,1500,Automatic,cc,26000000
208,BMW X1  2017 sDrive18i A/T for Sale,,2017,10000,Petrol,1500,Automatic,cc,9500000
209,BMW i4  2023 eDrive35 for Sale,,2023,6000,Electric,67,Automatic,kWh,18500000
210,BMW 7 Series 5th (F01) Generation 2013 750Li for Sale,,2013,150000,Petrol,4400,Automatic,cc,13500000
211,BMW 7 Series 4th (E65) Generation 2002 745Li for Sale,,2002,130000,Petrol,4400,Automatic,cc,6500000
212,BMW X5  2005 4.4i for Sale,,2005,138000,Petrol,4400,Automatic,cc,6500000
213,BMW 6 Series  2005  for Sale,,2005,115000,Petrol,4500,Automatic,cc,7500000
215,BMW X1  2017 sDrive18i A/T for Sale,,2017,80000,Petrol,1500,Automatic,cc,8350000
216,BMW 5 Series 5th (E60) Generation 2007 525d for Sale,,2007,200000,Diesel,2500,Automatic,cc,3750000
217,BMW i5  2024 eDrive40 M Sport for Sale,,2024,19000,Electric,81.2,Automatic,kWh,32900000
218,BMW X1  2017 sDrive18i A/T for Sale,,2017,115000,Petrol,1500,Automatic,cc,7500000
219,BMW i4  2023 eDrive40 for Sale,,2023,35500,Electric,84,Automatic,kWh,20800000
220,BMW M Series  2006  for Sale,,2006,68000,Petrol,5000,Automatic,cc,11500000
221,BMW 7 Series 4th (E65) Generation 2008 730Li for Sale,,2008,102000,Petrol,3000,Automatic,cc,4700000
222,BMW 3 Series 4th (E46) Generation 2001 318i for Sale,,2001,200000,Petrol,2000,Automatic,cc,2450000
223,BMW 5 Series 5th (E60) Generation 2012 520d for Sale,8.9,2012,140000,Diesel,2000,Automatic,cc,11700000
224,BMW 7 Series 4th (E65) Generation 2002 735i for Sale,,2002,135000,Petrol,3600,Automatic,cc,3300000
225,BMW X1  2018 sDrive18i A/T for Sale,,2018,65000,Petrol,1500,Automatic,cc,7200000
226,BMW 3 Series 4th (E46) Generation 2017 318i for Sale,,2017,86000,Petrol,2000,Automatic,cc,11500000
227,BMW 7 Series 4th (E65) Generation 2007 730i for Sale,,2007,70850,Petrol,3000,Automatic,cc,4200000
228,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,140000,Petrol,3000,Automatic,cc,3800000
229,BMW iX3  2021 M Sport for Sale,,2021,18900,Electric,1500,Automatic,kWh,16800000
230,BMW 7 Series  2016 750 Li for Sale,,2016,69000,Petrol,4400,Automatic,cc,37500000
233,BMW X1  2017 sDrive18i A/T for Sale,,2017,80000,Petrol,1500,Automatic,cc,8350000
234,BMW i5  2024 eDrive40 M Sport for Sale,,2024,19000,Electric,81.2,Automatic,kWh,32900000
235,BMW M Series  2006  for Sale,,2006,68000,Petrol,5000,Automatic,cc,11500000
236,BMW 5 Series 5th (E60) Generation 2012 520d for Sale,8.9,2012,140000,Diesel,2000,Automatic,cc,11700000
237,BMW X1  2018 sDrive18i A/T for Sale,,2018,65000,Petrol,1500,Automatic,cc,7200000
238,BMW 3 Series 4th (E46) Generation 2017 318i for Sale,,2017,86000,Petrol,2000,Automatic,cc,11500000
239,BMW 7 Series  2016 750 Li for Sale,,2016,69000,Petrol,4400,Automatic,cc,37500000
241,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5000,Electric,105,Automatic,kWh,65000000
243,BMW X7  2022 xDrive40i for Sale,,2022,60000,Petrol,3000,Automatic,cc,64000000
245,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,12000,Electric,1057,Automatic,kWh,59900000
246,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,4000,Electric,105,Automatic,kWh,63300000
247,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,33000,Electric,105,Automatic,kWh,60000000
248,BMW X5  2002 3.0i for Sale,,2002,185000,Petrol,3000,Automatic,cc,4325000
249,BMW X1  2017 sDrive18i A/T for Sale,,2017,80000,Petrol,1500,Automatic,cc,7000000
250,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,3000,Electric,105.7,Automatic,kWh,63500000
251,BMW i5  2023 eDrive40 M Sport for Sale,,2023,19800,Electric,81,Automatic,kWh,32000000
252,BMW iX3  2021 M Sport for Sale,,2021,9500,Electric,73,Automatic,kWh,21200000
253,BMW 7 Series 5th (F01) Generation 2011 750Li for Sale,,2011,108000,Petrol,4400,Automatic,cc,16500000
254,BMW X1  2017 sDrive18i A/T for Sale,,2017,55000,Petrol,1500,Automatic,cc,7200000
255,BMW 7 Series 4th (E65) Generation 2003 745Li for Sale,,2003,100000,Petrol,4400,Automatic,cc,3450000
256,BMW 5 Series 5th (E60) Generation 2003 530i for Sale,,2003,170000,Petrol,3000,Automatic,cc,4480000
257,BMW iX3  2021 M Sport for Sale,,2021,34000,Electric,80,Automatic,kWh,20000000
258,BMW iX3  2021 M Sport for Sale,,2021,28000,Electric,80,Automatic,kWh,18100000
259,BMW 7 Series  2024 i7 xDrive50 M Sport for Sale,,2024,9000,Electric,101.7,Automatic,kWh,64900000
260,BMW X1  2021 sDrive18i A/T for Sale,,2021,45000,Petrol,1500,Automatic,cc,11400000
261,BMW 3 Series  1997  for Sale,,1997,210000,Petrol,1600,Automatic,cc,2100000
262,BMW 7 Series 4th (E65) Generation 2006 745Li for Sale,,2006,219000,Petrol,4400,Automatic,cc,4250000
264,BMW 5 Series 5th (E60) Generation 2003 530i for Sale,,2003,200000,Petrol,3000,Automatic,cc,4700000
265,BMW i5  2025 eDrive40 M Sport for Sale,,2025,10000,Electric,81,Automatic,kWh,45000000
266,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,12000,Electric,1057,Automatic,kWh,59900000
267,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,4000,Electric,105,Automatic,kWh,63300000
268,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,33000,Electric,105,Automatic,kWh,60000000
269,BMW i5  2023 eDrive40 M Sport for Sale,,2023,19800,Electric,81,Automatic,kWh,32000000
270,BMW iX3  2021 M Sport for Sale,,2021,28000,Electric,80,Automatic,kWh,18100000
271,BMW 7 Series  2024 i7 xDrive50 M Sport for Sale,,2024,9000,Electric,101.7,Automatic,kWh,64900000
273,BMW i5  2025 eDrive40 M Sport for Sale,,2025,10000,Electric,81,Automatic,kWh,45000000
274,BMW 2 Series  2021 218i Gran Coupe for Sale,,2021,18000,Petrol,1500,Automatic,cc,14000000
276,BMW X5  2014 xDrive35d for Sale,,2014,109000,Diesel,3000,Automatic,cc,13500000
277,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,24000,Electric,105,Automatic,kWh,57500000
278,BMW 5 Series 5th (E60) Generation 2004 525i for Sale,,2004,221000,Petrol,2500,Automatic,cc,3700000
279,BMW X1  2017 sDrive18i A/T for Sale,,2017,110000,Petrol,1500,Automatic,cc,6900000
280,BMW 3 Series  2004  for Sale,,2004,123,Petrol,4300,Manual,cc,3800000
281,BMW X1  2017 sDrive18i A/T for Sale,,2017,114000,Petrol,1500,Automatic,cc,6700000
282,BMW 3 Series  1997  for Sale,,1997,80000,Petrol,1800,Automatic,cc,2100000
283,BMW 3 Series  2004  for Sale,,2004,15000,Petrol,4000,Manual,cc,4500000
284,BMW X1  2019 sDrive18i A/T for Sale,,2019,146000,Petrol,1500,Automatic,cc,7500000
285,BMW iX  2022  for Sale,,2022,7747,Electric,71,Automatic,kWh,33000000
286,BMW iX  2022 xDrive50 for Sale,,2022,7500,Electric,105,Automatic,kWh,28500000
287,BMW X1  2017 sDrive18i A/T for Sale,,2017,29000,Petrol,1500,Automatic,cc,8500000
288,BMW iX  2022 xDrive40 for Sale,,2022,7700,Electric,71,Automatic,kWh,33000000
289,BMW i5  2025 eDrive40 for Sale,,2025,15,Electric,81,Automatic,kWh,46500000
290,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,62000,Hybrid,2000,Automatic,cc,37500000
291,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5000,Electric,105,Automatic,kWh,65000000
292,BMW 7 Series  2019 745Le xDrive for Sale,,2019,35598,Hybrid,3000,Automatic,cc,58500000
293,BMW X1  2018 sDrive18i M/T for Sale,,2018,95000,Petrol,1500,Automatic,cc,7900000
294,BMW iX1  2023  for Sale,,2023,400,Electric,64,Automatic,kWh,20000000
295,BMW 7 Series  2025 i7 M70 xDrive for Sale,,2025,22000,Electric,101,Automatic,kWh,73000000
296,BMW X1  2018 sDrive18i A/T for Sale,,2018,84800,Petrol,1500,Automatic,cc,9200000
297,BMW X5  2016 xDrive35d for Sale,,2016,99000,Diesel,3000,Automatic,cc,10200000
299,BMW iX  2022  for Sale,,2022,7747,Electric,71,Automatic,kWh,33000000
300,BMW iX  2022 xDrive50 for Sale,,2022,7500,Electric,105,Automatic,kWh,28500000
301,BMW X1  2017 sDrive18i A/T for Sale,,2017,29000,Petrol,1500,Automatic,cc,8500000
302,BMW iX  2022 xDrive40 for Sale,,2022,7700,Electric,71,Automatic,kWh,33000000
303,BMW i5  2025 eDrive40 for Sale,,2025,15,Electric,81,Automatic,kWh,46500000
304,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,62000,Hybrid,2000,Automatic,cc,37500000
305,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5000,Electric,105,Automatic,kWh,65000000
306,BMW 7 Series  2019 745Le xDrive for Sale,,2019,35598,Hybrid,3000,Automatic,cc,58500000
307,BMW iX1  2023  for Sale,,2023,400,Electric,64,Automatic,kWh,20000000
